DOI,Volume,Issue,Pages,文献预览,年份,期刊,作者,摘要,标题,标题翻译,摘要翻译,摘要总结
,4,2,11-2,,1984,Planned parenthood review,"Pugni, J L","At this time there are about 20 Planned Parenthood teen theater groups throughout the US. The idea originated in New York in 1973, when the staff of the Family Planning Division of the New York Medical College needed an effective way to reach adolescents about important issues. FOCUS, a teen family life theater sponsored by Planned Parenthood of Greater Charlotte, performs skits about life as seen from the teenager's perspective. The teenagers do not use a script but create their performances from their own experiences, expressed through carefully learned improvisational techniques. This approach gives the presentations an authentic flavor that enables the troupe to connect with the audience. The topics dealt with vary. For example, 1982-83 shows included peer pressure, divorce, teenage pregnancy, drinking, teenage suicide, parent-teen relationships, and loneliness. The performances do not offer absolute answers but rather pose important questions to the audience. Following the performance the actors and actresses return to the stage, still portraying their characters, and invite the audience to ask questions and discuss possible alternatives for the characters. THE SOURCE is the Teen Council of Planned Parenthood of Southwest Florida. It works to inform the community of problems teenagers face by presenting short plays, written, directed, and cast by teens themselves. Through education, honest answers, healthy building of self esteem, and parent support, SOURCE members reach a higher level of self awareness. They then share what they learn with their families, peers, and the community through performance and special events. THE SOURCE, formed in October 1980, grew out of Planned Parenthood's belief that if teens feel self worth, their decision-making process will be affected less by peer pressure and negative social influences. The Youth Expression Theater (YET) of Cambridge is an education outreach project of the Planned Parenthood League of Massachusetts (PPLM). It grew out of the belief that improvisational drama, by permitting teens to portray their conflicts, is a more creative educational tool than a lecture series by adult professionals. YET productions deal with teen pregnancy, parenting, sexual responsibility, and decision making, alcohol and drug abuse, birth control, homosexuality, divorce, abortion, suicide, and sex-role stereotyping. In Dallas, Texas, Elena Love and Jim Roderick established the Teen Perspective Theater (TPT) as an arm of the Planned Parenthood of Greater Dalls education program. An acting company of 11 students aged 13-18 was drawn from public and private schools. Rehearsals began the end of July and included educational sessions as well as performance skill workshops. The presentation follows the format established by other Planned Parenthood theater groups: brief improvisational skits, in-character exchange with the audience, and personal exchange with the audience.",Teen theaters grapple with issues.,青少年剧院面临的问题,目前，美国约有20个计划生育青少年剧团。这个想法源于1973年的纽约，当时纽约医学院计划生育部的工作人员需要一种有效的方式来让青少年了解重要问题。FOCUS是由大夏洛特地区的计划生育机构赞助的青少年家庭生活剧场，演出通过青少年的视角来表现生活的短剧。青少年不使用剧本，而是根据自己的经验创作表演，通过认真学习的即兴表演技巧进行表达。这种方法赋予演出真实的风格，使剧团能够与观众产生联系。涉及的主题各不相同。例如，1982-83年的演出包括同伴压力、离婚、青少年怀孕、酗酒、青少年自杀、亲子关系和孤独感。演出不提供绝对的答案，而是向观众提出重要的问题。表演结束后，演员们重返舞台，仍然扮演他们的角色，邀请观众提问并讨论角色的可能选择。THE SOURCE是西南佛罗里达州计划生育的青少年委员会。它通过青少年自己编写、执导和参演的短剧，向社区传达青少年面临的问题。通过教育、诚实的回答、健康地建立自尊和父母的支持，SOURCE成员达到了更高的自我认知水平。然后，他们通过表演和特别活动与家庭、同龄人和社区分享所学。SOURCE成立于1980年10月，源于计划生育的信念：如果青少年感到自我价值，他们的决策过程将受到同龄人压力和负面社会影响的影响较小。剑桥的青少年表达剧场（YET）是马萨诸塞州计划生育联盟（PPLM）的一个教育外展项目。它源于这样一种信念：即兴戏剧通过允许青少年表现自己的冲突是一种比成人专业人士的讲座系列更具创造性的教育工具。YET制作的剧目涉及青少年怀孕、育儿、性责任、决策、酒精和药物滥用、避孕、同性恋、离婚、堕胎、自杀和性别角色刻板印象。在德克萨斯州达拉斯，Elena Love和Jim Roderick建立了青少年视角剧院（TPT），作为大达拉斯地区计划生育教育项目的一个组成部分。演员团体由来自公立和私立学校的11名年龄在13至18岁之间的学生组成。排练于7月底开始，既包括教育课程，也包括表演技能研讨会。演出的格式遵循其他计划生育剧团的既定模式：简短的即兴短剧、与观众的角色交流，以及与观众的个人交流。,Pugni（1984）基于美国20个计划生育青少年剧团的案例，探讨了通过青少年即兴表演的方式，讨论青春期重要议题。研究发现，此类表演不仅增强了青少年的自我意识，还促进了与观众的互动，鼓励探索问题的多种解决方案。
https://doi.org/10.2307/2393339,38,4,628-652,https://doi.org/10.2307/2393339,1993,ADMINISTRATIVE SCIENCE QUARTERLY,"WEICK, KE","The death of 13 men in the Mann Gulch fire disaster, made famous in Norman Maclean's Young Men and Fire, is analyzed as the interactive disintegration of role structure and sensemaking in a minimal organization. Four potential sources of resilience that make groups less vulnerable to disruptions of sensemaking are proposed to forestall disintegration, including improvisation, virtual role systems, the attitude of wisdom, and norms of respectful interaction. The analysis is then embedded in the organizational literature to show that we need to reexamine our thinking about temporary systems, structuration, nondisclosive intimacy, intergroup dynamics, and team building.",THE COLLAPSE OF SENSEMAKING IN ORGANIZATIONS - THE MANN GULCH DISASTER,组织中的意义建构崩溃 - 曼古奇灾难,在诺曼·麦克莱恩的《年轻人与火》中为人所知的曼戈尔奇火灾中，13名男子的死亡被分析为在一个最小组织中角色结构与意义构建的互动性解体。提出了四种潜在的韧性来源，以减少群体对意义构建中断的脆弱性，包括即兴创作、虚拟角色系统、智慧态度和尊重互动的规范。随后，将该分析嵌入组织文献中，以表明我们需要重新审视对临时系统、结构化、非披露性亲密关系、群体动态和团队建设的思考。,维克(1993)基于曼古尔奇火灾的案例分析，探讨了在最小组织中角色结构和意义构建的互动解体，提出了四种增强韧性的潜在源泉，包括即兴发挥、虚拟角色系统、智慧态度和尊重互动规范，并呼吁重新审视临时系统和团队建设的相关文献。
https://doi.org/10.1002/(SICI)1099-1638(199605)12:3<173::AID-QRE5>3.3.CO;2-6,12,3,173-189,https://doi.org/10.1002/(SICI)1099-1638(199605)12:3<173::AID-QRE5>3.3.CO;2-6,1996,QUALITY AND RELIABILITY ENGINEERING INTERNATIONAL,"Dabade, BM; Ray, PK","In the face of stiff and demanding competition internationally, there is a growing resolve in the industrial community to provide the customers and the market in general products and services of superior quality. Quality engineering has been established as an important continuous performance improvement methodology during the last decade. Consequently, numerous developments and innovative methods have been reported in the literature by researchers and practitioners alike.In this paper, a critical appraisal of recent developments, improvisations, and innovations in the field of quality engineering has been made. It is observed that there exists an immense body of knowledge in terms of better approaches, techniques, methodologies, aids, analysis tools, etc. However, most of these are oriented toward product improvement or process improvement in a localized manner, and a systematic approach for the application of quality engineering encompassing all the importnat functions in an organization is lacking.In view of this a comprehensive quality engineering methodology is also proposed in this paper so that the implementation of quality engineering in an organization will be more effective, and the benefits to be achieved will. be substantial in real-life situations.",Quality engineering for continuous performance improvement in products and processes: A review and reflections,产品和过程中的质量工程：持续性能改进的回顾与思考,面对国际竞争的激烈和苛刻，工业界越来越决心向客户和市场提供优质的产品和服务。在过去十年中，质量工程已被确立为一项重要的持续绩效改进方法。因此，许多研究者和从业者在文献中报道了大量的发展和创新方法。本文对质量工程领域的近期发展、改进和创新进行了批判性评估。观察到在更好的方法、技术、方法论、工具和分析工具等方面，存在着庞大的知识体系。然而，这些大多数都是针对产品改进或过程改进的局部性方法，缺乏涵盖组织内所有重要职能的系统性质量工程应用方法。基于此，本文还提出了一种全面的质量工程方法论，以便在组织中实施质量工程时更加有效，并在实际情况下能够获得可观的收益。,Dabade和Ray（1996）对质量工程领域的近期发展进行了批判性评估，发现现有的许多方法多集中于产品或过程的局部改进。为了提高质量工程的实施效果，本文提出了一种全面的质量工程方法论，以期在组织内实现更显著的实际收益。
https://doi.org/10.1057/palgrave.ejis.3000337,8,4,247-259,https://doi.org/10.1057/palgrave.ejis.3000337,1999,EUROPEAN JOURNAL OF INFORMATION SYSTEMS,"Macredie, RD; Sandom, C","This paper presents an empirical study into a hierarchical organization's experience with the adoption and use of an adaptive information technology, in this case a workflow application. The paper takes an improvisational perspective on the change process and assesses it through a case study which examines the organization's experiences in terms of anticipated, opportunity-based and emergent changes to their processes, structure and culture that were enabled by the introduction of the workflow application. The findings build upon Orlikowski and Hofman's improvisational change model by evaluating the model in a different organizational context to that of the original study. The findings reveal that ongoing improvisational changes can occur in hierarchical organizations and that improvisations and adaptations can occur in organizations which adopt adaptive IT provided that ongoing support for change management is forthcoming. The findings also suggest that there is a correlation between the level of customer dissatisfaction and the emergence of any local improvisations regardless of the organization type. This implies that an improvisational perspective may be useful for hierarchical organizations which introduce new technology as the local improvisations which can occur may be leveraged for advantage. The study also raises important questions about the categorisation of technologies as adaptive and critically reflects on this aspect of the improvisational change model.",IT-enabled change: evaluating an improvisational perspective,信息技术驱动的变革：评估即兴演出的视角,本文对一个层级组织在采用和使用自适应信息技术方面的经验进行了实证研究，以工作流程应用程序为例。本文从即兴发挥的视角探讨变革过程，并通过案例研究评估该组织在工作流程应用程序引入后在其流程、结构和文化上所经历的预期、基于机会和新兴变化。研究结果基于Orlikowski和Hofman的即兴变革模型，在不同的组织背景下对该模型进行了评估。研究发现，层级组织中可以发生持续的即兴变革，且在提供了持续的变革管理支持的情况下，采用自适应信息技术的组织能够进行即兴发挥和适应。研究还表明，客户不满的程度与任何地方性即兴发挥的出现之间存在相关性，无论组织类型如何。这意味着即兴发挥的视角对引入新技术的层级组织可能是有益的，因为所发生的地方即兴发挥可以被利用以获得优势。此外，研究还提出了关于技术分类为自适应的重要问题，并对这一即兴变革模型的相关方面进行了批判性反思。,Macredie和Sandom（1999）通过案例研究探讨了一个层级组织采纳工作流应用程序的经验，从即兴变化的角度分析组织流程、结构和文化的变化，发现持续的即兴变化在层级组织中可能发生，并强调客户不满程度与局部即兴变革的相关性，为技术引入提供了新视角。
https://doi.org/10.1287/orsc.10.3.216,10,3,216-232,https://doi.org/10.1287/orsc.10.3.216,1999,ORGANIZATION SCIENCE,"Anderson, P","Complex organizations exhibit surprising, nonlinear behavior. Although organization scientists have studied complex organizations for many years, a developing set of conceptual and computational tools makes possible new approaches to modeling nonlinear interactions within and between organizations. Complex adaptive system models represent a genuinely new way of simplifying the complex. They are characterized by four key elements: agents with schemata, self-organizing networks sustained by importing energy, coevolution to the edge of chaos, and system evolution based on recombination. New types of models that incorporate these elements will push organization science forward by merging empirical observation with computational agent-based simulation. Applying complex adaptive systems models to strategic management leads to an emphasis on building systems that can rapidly evolve effective adaptive solutions. Strategic direction of complex organizations consists of establishing and modifying environments within which effective, improvised, self-organized solutions can evolve. Managers influence strategic behavior by altering the fitness landscape for local agents and reconfiguring the organizational architecture within which agents adapt.",Complexity theory and organization science,复杂性理论与组织科学,复杂组织表现出令人惊讶的非线性行为。尽管组织科学家研究复杂组织已有多年，但一系列正在发展的概念和计算工具使得对组织内部及之间非线性互动建模的新方法成为可能。复杂适应系统模型代表了一种真正简化复杂性的全新方式。它们的特点包括四个关键要素：具有框架的主体、自我组织的网络（通过输入能量维持）、在混沌边缘的共同演化，以及基于重组的系统演化。结合这些要素的新型模型将通过将实证观察与基于代理的计算机模拟相结合，推动组织科学的发展。将复杂适应系统模型应用于战略管理，强调构建能够快速演变有效适应解决方案的系统。复杂组织的战略方向包括建立和修改环境，使有效的、即兴的、自我组织的解决方案能够演变。管理者通过改变局部主体的适应性景观和重新配置主体适应的组织架构来影响战略行为。,Anderson（1999）提出复杂组织表现出非线性行为，利用复杂自适应系统模型，强调了代理、自我组织网络和共演化等四个关键元素。这种建模方法结合了经验观察和计算机模拟，推动组织科学发展，为战略管理提供了有效的适应性解决方案。
https://doi.org/10.1016/S0737-6782(00)00038-2,17,3,179-193,https://doi.org/10.1016/S0737-6782(00)00038-2,2000,JOURNAL OF PRODUCT INNOVATION MANAGEMENT,"Mascitelli, R","The ability to create a stream of revolutionary new products can represent a sustainable competitive advantage for firms in almost arty industry. Whereas evolutionary product improvements often follow predictable trajectories, breakthrough innovations involve unexpected leaps of creativity and insight. Despite its strategic importance, however; little is known about the process by which innovators achieve these valuable breakthroughs. This article proposes that break through innovations result from the harnessing of tacit knowledge possessed by individuals and project teams. Tacit knowledge lies below the surface of conscious thought and is accumulated through a lifetime of experience, experimentation, perception, and learning by doing. Managers who can tap into this vast pool of creative energy can elevate the innovative capabilities of their teams well beyond the incremental and mundane.The article begins by establishing the vital importance of breakthrough innovations to the competitiveness of firms. This strategic mandate is followed by a brief discussion of the nature and implications of tacit knowledge in the context of innovation The remainder of the article describes three mutually reinforcing methods for encouraging the explication and sharing of tacit knowledge among design team members. The ultimate goal is to establish a generative atmosphere for breakthrough innovation in which divergent thinking, improvisation, and artistic creativity merge with the practical demands of the product development process.The first step toward harnessing the creative power of tacit knowledge is to foster the emotional commitment and deep personal involvement of design team members. Managers can accomplish this goal through the development of inspiring innovation stories,  encouragement of reasonable risk-taking and experimentation, building of unique team identities, and displaying unbridled confidence in a team's creative abilities. Once the emotional commitment of team members has been assured, two techniques are proposed as catalysts for breakthroughs derived from tacit knowledge. These methods are based on evidence that intimate physical interaction during the creative process, both person to object mid person to person, may be a catalyst for tacit insights. The first technique highlights the use of early and frequent prototyping as a powerful focal point for the explication of tacit knowledge from both the design team and potential customers. The second technique involves the encouragement of face-to-face interaction between innovators during product development, thereby enabling creative improvisation and real-time knowledge sharing.Several implications for managers are highlighted including the need for a greater emphasis on employee retention, the importance of developing a nurturing environment for innovation, and the value of intimate physical interaction, including early prototyping, indwelling with customers, and co-location of teams wherever possible. (C) 2000 Elsevier Science Inc.",From experience: Harnessing tacit knowledge to achieve breakthrough innovation,从经验出发：利用隐性知识实现突破性创新,创造一系列革命性新产品的能力可以为几乎任何行业的公司带来可持续的竞争优势。虽然渐进式产品改进往往遵循可预测的轨迹，但突破性的创新则涉及意想不到的创造力和洞察力的飞跃。尽管其战略重要性显而易见，但关于创新者如何实现这些宝贵突破的过程知之甚少。本文提出，突破性创新是通过利用个体和项目团队所拥有的隐性知识而产生的。隐性知识潜藏于意识思考之下，通过一生的经验、实验、感知和实践学习积累而成。能够挖掘这一巨大创造性能源的管理者，可以将其团队的创新能力提升至超越渐进和日常的层次。文章首先强调突破性创新对企业竞争力的重要性。接着简要讨论隐性知识在创新背景下的性质和影响。文章其余部分描述了三种相互增强的方法，以鼓励设计团队成员之间隐性知识的明示和分享。最终目标是建立一个产生突破性创新的氛围，在这个氛围中，发散性思维、即兴发挥和艺术创造力与产品开发过程的实际需求相融合。 harnessing 隐性知识的第一步是促进设计团队成员的情感承诺和深度个人参与。管理者可以通过发展鼓舞人心的创新故事、鼓励合理的冒险和实验、构建独特的团队身份以及展示对团队创造能力的无限信心来实现这一目标。一旦团队成员的情感承诺得到保证，提出两种技术作为从隐性知识中产生突破的催化剂。这些方法基于证据，表明在创造过程中个人与物体及个人与个人之间的亲密身体互动可能是隐性洞察的催化剂。第一种技术强调早期和频繁的原型制作作为从设计团队和潜在客户中显性化隐性知识的强大焦点。第二种技术则涉及鼓励创新者在产品开发过程中进行面对面的互动，从而实现创造性的即兴发挥和实时知识分享。对于管理者，本文强调了几个重要启示，包括更重视员工留任的重要性、为创新发展培育支持性环境的重要性以及亲密身体互动的价值，包括早期原型制作、与客户的亲密接触，以及在可能的情况下团队的共址。,Mascitelli（2000）通过探讨突破性创新中隐性知识的作用，提出管理者可以通过建立团队情感承诺、使用早期原型和促进团队面对面互动等方法，提升创新能力，以实现企业的可持续竞争优势。
,80,5,46-+,,2002,HARVARD BUSINESS REVIEW,"Coutu, DL","Why do some people bounce back from life's hardships while others despair? HBR senior editor Diane Coutu looks at the nature of individual and organizational resilience, issues that have gained special urgency in light of the recent terrorist attacks, war, and recession. in the business arena, resilience has found its way onto the list of qualities sought in employees. As one of Coutu's interviewees puts it, More than education, more than experience, more than training, a person's level of resilience will determine who succeeds and who fails.Theories abound about what produces resilience, but three fundamental characteristics seem to set resilient people and companies apart from others. One or two of these qualities make it possible to bounce back from hardship, but true resilience requires all three.The first characteristic is the capacity to accept and face down reality. In looking hard at reality, we prepare ourselves to act in ways that allow us to endure and survive hardships: We train ourselves how to survive before we ever have to do so.Second, resilient people and organizations possess an ability to find meaning in some aspects of life. And values are just as important as meaning; value systems at resilient companies change very little over the long haul and are used as scaffolding in times of trouble.The third building block of resilience is the ability to improvise. Within an arena of personal capabilities or company rules, the ability to solve problems without the usual or obvious tools is a great strength.",How resilience works,韧性的运作机制,为什么有些人能够从生活的困境中反弹，而其他人却感到绝望？哈佛商业评论高级编辑黛安·库托探讨了个体和组织韧性的本质，这一议题在近期恐怖袭击、战争和经济衰退的背景下显得尤为紧迫。在商业领域，韧性已成为企业在员工中所寻求的品质之一。库托的一位采访对象表示：“比起教育、经验和培训，一个人的韧性水平将决定谁成功，谁失败。”关于韧性产生的理论层出不穷，但有三种基本特征似乎将韧性较强的人和企业与其他人区分开来。其中一两种特征使人能够从困境中反弹，但真正的韧性需要这三种特征的结合。第一种特征是接受和面对现实的能力。通过认真观察现实，我们为以能忍受和生存下去的方式采取行动做准备：我们在真正需要生存之前就进行生存训练。第二，韧性强的人和组织能够在生活的某些方面找到意义。而价值观的重要性与意义同样不可忽视；韧性企业的价值体系在长期内变化很小，并在困境中作为支撑。韧性的第三个基石是即兴发挥的能力。在个人能力或企业规则的范围内，能够在没有通常或明显工具的情况下解决问题是一种巨大优势。,Coutu（2002）基于对个人和组织韧性的研究，提出韧性在逆境中的重要性，认为成功的关键在于三大特征：接受现实、寻找意义及即兴应变。这些特征有助于个人和企业应对挑战，提高适应能力。
https://doi.org/10.1109/MS.2003.1231159,20,5,86-+,https://doi.org/10.1109/MS.2003.1231159,2003,IEEE SOFTWARE,"Aaen, I","Over the past decade or so, organizations have spent vast resources on software process improvement. Based on the software capability maturity model (CMM) and similar norms, SPI aims to build an infrastructure and culture that support effective methods, practices, and procedures and integrate into the ongoing way of doing business. This goal has proven difficult to reach, however, because SPI involves organizational change on a scale and of a complexity that requires commitment, resources, and skills at all organizational levels, and it carries a large risk of failure.This article analyzes the roots of these difficulties and challenges the traditional SPI approach, here labeled Blueprint SPI. Plan-oriented and mainly concerned with the static, this method creates a blueprint of a future software process. Its three primary aspects-externalizing process knowledge, separating process design from use, and structuration by melding process parts into organized wholes-focus on structure and the objects building it. Charts, functional elements, and the entities such elements produce or exchange typically describe a process.A blueprint view provides concepts and patterns for recognizing and communicating how we understand software processes. Process designers are expected to provide process knowledge to software developers, and software developers are expected to provide experiences and problems to process designers. A blueprint view does not, however, reveal how such structures emerge. Looking at SPI in light of knowledge management and organizational design concepts helps us see that a recipe can better elucidate structural dynamics. Recipes for software practices describe actions that generate the objects-such as established software practices-that blueprints specify. Recipes model emergence and form a basis for improvisation to suit a given situation. Recipes are open-ended in that the resulting blueprint-the new software process-emerges only after the fact. Where blueprints define preplanned actions, recipes express values, principles, and goals for such actions. Understanding these gives us a better view of an organization's software development culture and thus a better chance of understanding how it may change.",Software process improvement: Blueprints versus recipes,软件过程改进：蓝图与配方,在过去的十年中，组织在软件过程改进上投入了巨大的资源。基于软件能力成熟度模型（CMM）及类似标准，软件过程改进旨在构建一个支持有效方法、实践和程序的基础设施和文化，并将其融入到持续的业务运作中。然而，这一目标的实现证明是困难的，因为软件过程改进涉及到大规模和复杂的组织变革，需要在所有组织级别上投入承诺、资源和技能，并且面临较大的失败风险。本文分析了这些困难的根源，并挑战了传统的软件过程改进方法，这种方法被称为蓝图软件过程改进。该方法以计划为导向，主要关注静态的方面，创建未来软件过程的蓝图。其三个主要方面——外部化过程知识、将过程设计与使用分开以及通过将过程部分融为有机整体进行结构化——侧重于结构及构建其的对象。通常情况下，过程通过图表、功能元素和这些元素产生或交换的实体进行描述。蓝图视角提供了识别和传达我们如何理解软件过程的概念和模式。过程设计者被期望为软件开发者提供过程知识，而软件开发者则被期望为过程设计者提供经验与问题。然而，蓝图视角并未揭示这些结构是如何出现的。从知识管理和组织设计概念的角度看待软件过程改进，帮助我们认识到，食谱可以更好地阐明结构动态。软件实践的食谱描述了产生蓝图所指定的对象，如既定软件实践的行动。食谱模型化了涌现，并为适应特定情况的即兴创作奠定了基础。食谱是开放式的，结果蓝图——新软件过程——仅在事后出现。蓝图定义了预先计划的行动，而食谱则表达了这些行动的价值观、原则和目标。理解这些将使我们更好地洞察一个组织的软件开发文化，从而更好地理解其可能如何变化。,Aaen（2003）通过分析软件过程改进（SPI）的传统方法，探讨了其在组织变革中的复杂性和挑战。作者强调，将知识管理与组织设计结合，可以更有效地理解软件过程的动态，提出“食谱”方法优于蓝图方法，助于应对变化和改进软件开发文化。
https://doi.org/10.1111/1540-5885.2002008,20,2,163-179,https://doi.org/10.1111/1540-5885.2002008,2003,JOURNAL OF PRODUCT INNOVATION MANAGEMENT,"van der Bij, H; Song, M; Weggeman, M","Knowledge dissemination is of crucial importance for the strategic planning in new product development. Many new ideas stem from recombination of previously successful, disseminated actions, and knowledge dissemination offers a clear overview of market needs' technology developments, and competitors' actions. Moreover, in dynamic environments, where strategic planning has to be added by some kind of improvisation, knowledge dissemination leads to a high quality of improvisation. It leads to a quick awareness of external or internal surprises, gives an opportunity to learn quickly from the past, and compensates for a coordination mechanism instead of planning.The dissemination of knowledge does not always happen spontaneously. Especially, people with a technical background often are highly individualistic and do not disseminate knowledge naturally. So, this must be fostered by the organization. In management research, particularly on technology and innovation management, many facilitating factors have been identified that enhance communication. Intuitively, they also would seem useful in enhancing knowledge dissemination; however, these factors have not been tested empirically for this specific use. Research on knowledge and its management has not given much attention to the way knowledge in an organization is disseminated and the factors that can facilitate it. If such factors are mentioned, they are not tested empirically and their relative impact is not addressed.In this study we identified 17 important factors in enhancing knowledge dissemination and validated 10 of these factors empirically and determined their relative impact. We focused on technological knowledge in new product development-not on the project level but on the level of the strategic business unit.The field research comprised three parts. In the first step, we conducted in-depth interviews with research and development (R&D) managers and their supervisors to select the most important potential facilitating factors. In the second step, indepth interviews with senior executives, information technology (IT) officers, and R&D experts were conducted to determine whether the constructs regarding knowledge dissemination and the potential facilitating factors had face validity. Finally, the potential factors were tested empirically in 277 U.S. high-technology firms at the strategic business unit (SBU) level. It was our intention to examine potential factors beyond the level of the particular project, so we looked for antecedents in an SBU environment with a longer-term impact.Our results indicate that individual commitment to the firm is very important to facilitate knowledge dissemination as well as organizational crises and risk-taking behavior. Individual commitment was found to have the greatest impact on the level of knowledge dissemination, followed by organizational crisis and risk-taking behavior. It is thus up to management to find new ways to control individual commitment. More research, however, is required to better understand the ways by which managerial interventions stimulates knowledge dissemination.",An empirical investigation into the antecedents of knowledge dissemination at the strategic business unit level,战略业务单位层面知识传播先行因素的实证研究,知识传播对于新产品开发中的战略规划至关重要。许多新思路源于之前成功传播的行动的重组，而知识传播提供了市场需求、技术发展和竞争对手行动的清晰概述。此外，在动态环境中，战略规划需要某种形式的即兴发挥，知识传播能够提高即兴发挥的质量。它能快速意识到内外部的意外情况，提供从过去快速学习的机会，并补偿规划所缺乏的协调机制。知识传播并不总是自发发生。特别是在技术背景的人员中，很多人较为个人主义，不会自然而然地传播知识。因此，组织必须促进这种传播。在管理研究中，尤其是在技术与创新管理领域，已经确定了许多促进沟通的因素。直观上，这些因素似乎也有助于增强知识传播；然而，这些因素在特定用途上并未经过实证检验。关于知识及其管理的研究并未给予知识在组织中的传播及其促进因素足够的关注。如果提到此类因素，它们通常没有经过实证检验，并且其相对影响也没有得到讨论。在本研究中，我们确定了17个促进知识传播的重要因素，并实证验证其中10个因素及其相对影响。我们关注新产品开发中的技术知识——不是在项目层面，而是在战略业务单元（SBU）层面。该实地研究分为三个部分。第一步，我们与研发（R&D）经理及其上级进行了深入访谈，以选择最重要的潜在促进因素。在第二步中，我们与高级管理人员、信息技术（IT）官员和研发专家进行了深入访谈，以确定关于知识传播及潜在促进因素的构念是否具有表面真实性。最后，潜在因素在277家美国高科技企业的战略业务单元水平上进行了实证测试。我们旨在考察超出特定项目层面的潜在因素，因此我们在SBU环境中寻找具有长期影响的前因。我们的研究结果表明，员工对公司的个人承诺对促进知识传播非常重要，同时组织危机和冒险行为也起到了很大作用。个人承诺对知识传播水平的影响最大，其次是组织危机和冒险行为。因此，管理层应找到控制个人承诺的新方法。然而，仍需更多研究以更好地理解管理干预如何促进知识传播。,van der Bij等(2003)通过对277家美国高科技公司的调研，识别并验证了17个促进知识传播的重要因素，发现个体对公司的承诺在知识传播中影响最大，其次是组织危机和冒险行为，强调管理层需找到新方法以促进个体承诺。
,20,2,104-119,,2003,JOURNAL OF PRODUCT INNOVATION MANAGEMENT,"Thieme, RJ; Song, M; Shin, GC","We develop a conceptual model of new product development (NPD) based on seminal and review articles in order to answer the question, What project management characteristics will foster the development of new products that are more likely to survive in the marketplace? Our model adopts Ruckert and Walker's theoretical framework of situational dimensions, structural/process dimensions, and outcome dimensions as an underlying structure. We conceptualize their situational dimensions more narrowly as project management dimensions, allowing us to examine more specifically how project management practices affect the NPD process. In our model, project management dimensions include project manager style, project manager skills, and senior management support. Structural/process dimensions include cross-functional integration and planning proficiency. Outcome dimensions include process proficiency and new product survival.Our empirical analysis finds support for 20 hypotheses, a reversal of one hypothesis, and nonsignificant results for one hypothesis. These results show that projects are best led by managers with strong technical, marketing, and management skills, using a participative style and enjoying early and continuous support from senior management. These project management dimensions promote cross-functional integration and planning, which are important to process proficiency and new product survival.Our study suggests two broad conclusions. First, it confirms the links in the extant literature between situational (project management) dimensions, structural/process dimensions, and outcome dimensions in NPD. Second, firms can improve cross-functional integration and planning through various project management practices. Generally, we find that firms interested in improving both proficiency in their development process and the survival rate of new products should take steps to promote cross-functional integration and to improve their planning processes. While the linkage between cross-functional integration and NPD outcomes is well established in the literature, the impact of the planning process on NPD outcomes is a research area ripe with opportunity. Our study highlights three aspects of planning that contribute to NPD outcomes. Plans should be detailed, team members should participate actively in the planning process, and teams should be given flexibility and autonomy to respond to unanticipated issues as they appear.",Project management characteristics and new product survival,项目管理特征与新产品生存,我们基于重要和综述文章，开发了一个新产品开发（NPD）的概念模型，以回答以下问题：哪些项目管理特征将促进新产品的开发，使其更有可能在市场上生存？我们的模型采用了Ruckert和Walker的理论框架，包括情境维度、结构/过程维度和结果维度。我们将其情境维度更狭义地概念化为项目管理维度，使我们能够更具体地研究项目管理实践如何影响NPD过程。在我们的模型中，项目管理维度包括项目经理风格、项目经理技能和高层管理支持。结构/过程维度包括跨职能整合和规划能力。结果维度包括过程能力和新产品生存率。我们的实证分析支持20个假设，对一个假设进行了反转，并对一个假设的结果不显著。这些结果表明，项目最好由具备强大技术、营销和管理技能的经理领导，使用参与式风格，并获得高层管理的早期和持续支持。这些项目管理维度促进了跨职能的整合和规划，对过程能力和新产品生存率至关重要。我们的研究得出了两个广泛的结论。首先，它确认了现有文献中情境（项目管理）维度、结构/过程维度和NPD结果维度之间的联系。第二，公司可以通过各种项目管理实践来改善跨职能整合和规划。总体而言，我们发现希望提高开发过程的能力和新产品生存率的公司应采取措施促进跨职能整合并改善其规划过程。尽管跨职能整合与NPD结果之间的联系在文献中已得到充分建立，但规划过程对NPD结果的影响仍然是一个充满机遇的研究领域。我们的研究突出了规划对NPD结果贡献的三个方面。规划应该详细，团队成员应积极参与规划过程，团队应获得灵活性和自主权以应对出现的意外问题。,Thieme等(2003)基于文献综述，构建新产品开发的概念模型，分析项目管理特征如何促进产品市场存活。通过实证分析，验证了20个假设，发现管理能力、参与式风格和高管支持对跨职能整合及规划的重要性，进而提升开发效率和产品存活率。
